Filename,Material,Predicted_CT,Predicted_Energy
1176-Mg2GaB2Co5.poscar,Mg2GaB2Co5,4.439333,0.035290656
17-Mg2CuB2Rh5.poscar,Mg2CuB2Rh5,4.358458,0.015174806
897-Mg2CuB2Rh5.poscar,Mg2CuB2Rh5,4.358458,0.015174806
104-Mg2TiB2Au5.poscar,Mg2TiB2Au5,4.353651,0.045347654
280-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229
302-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229
341-Mg2MoB2Pt5.poscar,Mg2MoB2Pt5,4.312363,0.032442495
861-Mg2PtB2Pt5.poscar,Mg2PtB2Pt5,4.2994637,0.045884261
857-Mg2PtB2Rh5.poscar,Mg2PtB2Rh5,4.2919464,0.025291932
977-Mg2AuB2Rh5.poscar,Mg2AuB2Rh5,4.2836804,0.024709881
1053-Mg2CdB2Fe5.poscar,Mg2CdB2Fe5,4.2342157,0.042427148
578-Mg2RuB2Ir5.poscar,Mg2RuB2Ir5,4.2316303,0.017931483
1216-Mg2InB2Co5.poscar,Mg2InB2Co5,4.054255,0.031268526
218-Mg2VB2Ir5.poscar,Mg2VB2Ir5,4.0502086,0.00827953
583-Mg2RuB2Ag5.poscar,Mg2RuB2Ag5,3.9852023,0.040954643
600-Mg2OsB2Cu5.poscar,Mg2OsB2Cu5,3.9602132,0.043432224
622-Mg2OsB2Cu5.poscar,Mg2OsB2Cu5,3.9602132,0.043432224
776-Mg2NiB2Co5.poscar,Mg2NiB2Co5,3.9527106,0.034017938
560-Mg2RuB2Cu5.poscar,Mg2RuB2Cu5,3.9325862,0.037665651
582-Mg2RuB2Cu5.poscar,Mg2RuB2Cu5,3.9325862,0.037665651
16-Mg4CoB10.poscar,Mg4CoB10,3.885047,0.035490752
1213-Mg2InB2Fe5.poscar,Mg2InB2Fe5,3.8841639,0.043978618
255-Mg2NbB2Os5.poscar,Mg2NbB2Os5,3.860303,0.046845551
743-Mg2IrB2Ag5.poscar,Mg2IrB2Ag5,3.8204675,0.038876209
540-Mg2FeB2Pd5.poscar,Mg2FeB2Pd5,3.8199558,0.037808062
