Filename,Material,Predicted_CT,Predicted_Energy,
173-Mg2HfB2Fe5.poscar,Mg2HfB2Fe5,2.9173965,0.047474411,
174-Mg2HfB2Ru5.poscar,Mg2HfB2Ru5,4.6586814,0.024918248,
175-Mg2HfB2Os5.poscar,Mg2HfB2Os5,2.5172758,0.065677456,
176-Mg2HfB2Co5.poscar,Mg2HfB2Co5,2.3687391,0.032648284,
177-Mg2HfB2Rh5.poscar,Mg2HfB2Rh5,10.378444,0.02253105,
178-Mg2HfB2Ir5.poscar,Mg2HfB2Ir5,2.3574343,0.018337988,
179-Mg2HfB2Ni5.poscar,Mg2HfB2Ni5,1.8162755,0.031719911,
181-Mg2HfB2Pt5.poscar,Mg2HfB2Pt5,10.578631,0.034533284,
182-Mg2HfB2Cu5.poscar,Mg2HfB2Cu5,9.225333,0.042183735,
183-Mg2HfB2Ag5.poscar,Mg2HfB2Ag5,13.499399,0.039513748,
184-Mg2HfB2Au5.poscar,Mg2HfB2Au5,24.925976,0.047667642,
185-Mg2HfB2Zn5.poscar,Mg2HfB2Zn5,5.618254,0.057383521,
186-Mg2HfB2Cd5.poscar,Mg2HfB2Cd5,7.679153,0.068197015,
187-Mg2HfB2Hg5.poscar,Mg2HfB2Hg5,6.347379,0.110215194,
188-Mg2HfB2Al5.poscar,Mg2HfB2Al5,13.53007,0.119261718,
189-Mg2HfB2Ga5.poscar,Mg2HfB2Ga5,6.0661345,0.105235332,
190-Mg2HfB2In5.poscar,Mg2HfB2In5,5.329598,0.099912299,
191-Mg2HfB2Tl5.poscar,Mg2HfB2Tl5,15.295179,0.12553418,
192-Mg2HfB2Ge5.poscar,Mg2HfB2Ge5,6.4802756,0.119931075,
198-Mg2HfB2Se5.poscar,Mg2HfB2Se5,21.929482,0.236764529,
199-Mg2HfB2Te5.poscar,Mg2HfB2Te5,4.585182,0.192636944,
200-Mg2VB2Cu5.poscar,Mg2VB2Cu5,1.7682245,0.050308934,
201-Mg2VB2Y5.poscar,Mg2VB2Y5,7.0326157,0.112146192,
202-Mg2VB2Ti5.poscar,Mg2VB2Ti5,2.7811456,0.12640297,
203-Mg2VB2Zr5.poscar,Mg2VB2Zr5,3.979735,0.115347427,
205-Mg2VB2V5.poscar,Mg2VB2V5,2.9630175,0.123627094,
206-Mg2VB2Nb5.poscar,Mg2VB2Nb5,2.0233164,0.111036586,
207-Mg2VB2Ta5.poscar,Mg2VB2Ta5,3.0246975,0.114228476,
208-Mg2VB2Mo5.poscar,Mg2VB2Mo5,9.526397,0.093741372,
209-Mg2VB2W5.poscar,Mg2VB2W5,3.559483,0.319841978,
210-Mg2VB2Mn5.poscar,Mg2VB2Mn5,3.1505075,0.071846924,
211-Mg2VB2Tc5.poscar,Mg2VB2Tc5,3.5393724,0.06769051,
212-Mg2VB2Re5.poscar,Mg2VB2Re5,3.374062,0.145844443,
213-Mg2VB2Fe5.poscar,Mg2VB2Fe5,5.298366,0.051779672,
214-Mg2VB2Ru5.poscar,Mg2VB2Ru5,2.2587261,0.019783908,
215-Mg2VB2Os5.poscar,Mg2VB2Os5,2.7515306,0.06537452,
216-Mg2VB2Co5.poscar,Mg2VB2Co5,12.288955,0.030517535,
217-Mg2VB2Rh5.poscar,Mg2VB2Rh5,2.6508896,0.022400699,
218-Mg2VB2Ir5.poscar,Mg2VB2Ir5,4.0502086,0.00827953,
219-Mg2VB2Ni5.poscar,Mg2VB2Ni5,2.442184,0.027399774,
221-Mg2VB2Pt5.poscar,Mg2VB2Pt5,9.310357,0.023683843,
222-Mg2VB2Cu5.poscar,Mg2VB2Cu5,1.7682242,0.050308934,
223-Mg2VB2Ag5.poscar,Mg2VB2Ag5,2.382481,0.037642241,
224-Mg2VB2Au5.poscar,Mg2VB2Au5,4.7287383,0.048557316,
225-Mg2VB2Zn5.poscar,Mg2VB2Zn5,2.8627002,0.062118493,
226-Mg2VB2Cd5.poscar,Mg2VB2Cd5,2.126956,0.059878827,
227-Mg2VB2Hg5.poscar,Mg2VB2Hg5,7.0949216,0.104619252,
228-Mg2VB2Al5.poscar,Mg2VB2Al5,2.8951337,0.141718515,
229-Mg2VB2Ga5.poscar,Mg2VB2Ga5,5.9524813,0.105477922,
230-Mg2VB2In5.poscar,Mg2VB2In5,3.1106007,0.104966473,
231-Mg2VB2Tl5.poscar,Mg2VB2Tl5,4.3655314,0.131944315,
232-Mg2VB2Ge5.poscar,Mg2VB2Ge5,7.8888125,0.129023168,
235-Mg2VB2As5.poscar,Mg2VB2As5,26.29162,0.215992789,
236-Mg2VB2Sb5.poscar,Mg2VB2Sb5,20.502718,0.18762515,
237-Mg2VB2Bi5.poscar,Mg2VB2Bi5,6.1749477,0.222072025,
238-Mg2VB2Se5.poscar,Mg2VB2Se5,49.46721,0.257690351,
239-Mg2VB2Te5.poscar,Mg2VB2Te5,7.407618,0.204297621,
240-Mg2NbB2Cu5.poscar,Mg2NbB2Cu5,2.301352,0.041750335,
241-Mg2NbB2Y5.poscar,Mg2NbB2Y5,3.6557016,0.123942652,
242-Mg2NbB2Ti5.poscar,Mg2NbB2Ti5,3.2174888,0.112847084,
243-Mg2NbB2Zr5.poscar,Mg2NbB2Zr5,4.6808157,0.119499818,
245-Mg2NbB2V5.poscar,Mg2NbB2V5,3.9375048,0.110134818,
246-Mg2NbB2Nb5.poscar,Mg2NbB2Nb5,3.0909743,0.125045503,
247-Mg2NbB2Ta5.poscar,Mg2NbB2Ta5,3.2731247,0.105692348,
248-Mg2NbB2Mo5.poscar,Mg2NbB2Mo5,3.0595078,0.093650529,
249-Mg2NbB2W5.poscar,Mg2NbB2W5,1.4196198,0.184491491,
250-Mg2NbB2Mn5.poscar,Mg2NbB2Mn5,3.0795684,0.07024753,
251-Mg2NbB2Tc5.poscar,Mg2NbB2Tc5,3.0411453,0.073120172,
252-Mg2NbB2Re5.poscar,Mg2NbB2Re5,2.5065584,0.099091995,
253-Mg2NbB2Fe5.poscar,Mg2NbB2Fe5,3.961207,0.050226727,
254-Mg2NbB2Ru5.poscar,Mg2NbB2Ru5,2.709105,0.022914775,
255-Mg2NbB2Os5.poscar,Mg2NbB2Os5,3.860303,0.046845551,
256-Mg2NbB2Co5.poscar,Mg2NbB2Co5,3.4688451,0.030757133,
257-Mg2NbB2Rh5.poscar,Mg2NbB2Rh5,2.909315,0.024036343,
258-Mg2NbB2Ir5.poscar,Mg2NbB2Ir5,5.852367,0.013575144,
259-Mg2NbB2Ni5.poscar,Mg2NbB2Ni5,2.7000365,0.026909857,
261-Mg2NbB2Pt5.poscar,Mg2NbB2Pt5,4.495335,0.0275456,
262-Mg2NbB2Cu5.poscar,Mg2NbB2Cu5,2.301352,0.041750335,
263-Mg2NbB2Ag5.poscar,Mg2NbB2Ag5,2.8130288,0.043123304,
264-Mg2NbB2Au5.poscar,Mg2NbB2Au5,1.3877847,0.048371968,
265-Mg2NbB2Zn5.poscar,Mg2NbB2Zn5,1.8480722,0.058817667,
266-Mg2NbB2Cd5.poscar,Mg2NbB2Cd5,1.9742229,0.072829278,
267-Mg2NbB2Hg5.poscar,Mg2NbB2Hg5,6.0992107,0.120706837,
268-Mg2NbB2Al5.poscar,Mg2NbB2Al5,2.4131305,0.136464015,
269-Mg2NbB2Ga5.poscar,Mg2NbB2Ga5,11.740569,0.114290236,
270-Mg2NbB2In5.poscar,Mg2NbB2In5,3.3842325,0.112183324,
271-Mg2NbB2Tl5.poscar,Mg2NbB2Tl5,9.050463,0.135013348,
272-Mg2NbB2Ge5.poscar,Mg2NbB2Ge5,12.43515,0.12569693,
275-Mg2NbB2As5.poscar,Mg2NbB2As5,21.598518,0.211031501,
276-Mg2NbB2Sb5.poscar,Mg2NbB2Sb5,7.420854,0.186660302,
277-Mg2NbB2Bi5.poscar,Mg2NbB2Bi5,8.949988,0.218324064,
278-Mg2NbB2Se5.poscar,Mg2NbB2Se5,22.787033,0.246927844,
279-Mg2NbB2Te5.poscar,Mg2NbB2Te5,8.345021,0.187589535,
280-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229,
281-Mg2TaB2Y5.poscar,Mg2TaB2Y5,3.418828,0.113808543,
282-Mg2TaB2Ti5.poscar,Mg2TaB2Ti5,5.4236374,0.106428169,
283-Mg2TaB2Zr5.poscar,Mg2TaB2Zr5,2.2067297,0.103977934,
285-Mg2TaB2V5.poscar,Mg2TaB2V5,2.6160831,0.09745669,
286-Mg2TaB2Nb5.poscar,Mg2TaB2Nb5,6.513101,0.104840715,
287-Mg2TaB2Ta5.poscar,Mg2TaB2Ta5,3.7153773,0.11052618,
288-Mg2TaB2Mo5.poscar,Mg2TaB2Mo5,2.442989,0.079975138,
289-Mg2TaB2W5.poscar,Mg2TaB2W5,4.945461,0.156491004,
290-Mg2TaB2Mn5.poscar,Mg2TaB2Mn5,1.8540144,0.067890063,
291-Mg2TaB2Tc5.poscar,Mg2TaB2Tc5,2.1151142,0.063432209,
292-Mg2TaB2Re5.poscar,Mg2TaB2Re5,2.4424458,0.089010128,
293-Mg2TaB2Fe5.poscar,Mg2TaB2Fe5,3.845461,0.054153078,
294-Mg2TaB2Ru5.poscar,Mg2TaB2Ru5,5.850708,0.019490604,
295-Mg2TaB2Os5.poscar,Mg2TaB2Os5,2.875317,0.050631322,
296-Mg2TaB2Co5.poscar,Mg2TaB2Co5,2.6061249,0.029087113,
297-Mg2TaB2Rh5.poscar,Mg2TaB2Rh5,5.7505503,0.021279179,
298-Mg2TaB2Ir5.poscar,Mg2TaB2Ir5,3.0969996,0.017141389,
299-Mg2TaB2Ni5.poscar,Mg2TaB2Ni5,6.6199174,0.026516685,
301-Mg2TaB2Pt5.poscar,Mg2TaB2Pt5,5.081258,0.038175266,
302-Mg2TaB2Cu5.poscar,Mg2TaB2Cu5,4.328708,0.044633229,
303-Mg2TaB2Ag5.poscar,Mg2TaB2Ag5,6.4336534,0.045410906,
304-Mg2TaB2Au5.poscar,Mg2TaB2Au5,4.621715,0.05793713,
305-Mg2TaB2Zn5.poscar,Mg2TaB2Zn5,7.574837,0.063361129,
306-Mg2TaB2Cd5.poscar,Mg2TaB2Cd5,2.0658982,0.069505525,
307-Mg2TaB2Hg5.poscar,Mg2TaB2Hg5,14.917595,0.163167948,
308-Mg2TaB2Al5.poscar,Mg2TaB2Al5,2.590054,0.126860468,
309-Mg2TaB2Ga5.poscar,Mg2TaB2Ga5,3.301107,0.127650209,
310-Mg2TaB2In5.poscar,Mg2TaB2In5,2.6254396,0.116745354,
311-Mg2TaB2Tl5.poscar,Mg2TaB2Tl5,13.9130125,0.1471127,
312-Mg2TaB2Ge5.poscar,Mg2TaB2Ge5,4.652178,0.129659196,
315-Mg2TaB2As5.poscar,Mg2TaB2As5,13.805059,0.185160633,
316-Mg2TaB2Sb5.poscar,Mg2TaB2Sb5,4.9276075,0.174478763,
317-Mg2TaB2Bi5.poscar,Mg2TaB2Bi5,7.2160416,0.230884419,
318-Mg2TaB2Se5.poscar,Mg2TaB2Se5,28.457699,0.249999998,
319-Mg2TaB2Te5.poscar,Mg2TaB2Te5,5.692873,0.199249701,
320-Mg2MoB2Cu5.poscar,Mg2MoB2Cu5,2.4184837,0.042734002,
321-Mg2MoB2Y5.poscar,Mg2MoB2Y5,3.843042,0.107835445,
322-Mg2MoB2Ti5.poscar,Mg2MoB2Ti5,3.2619798,0.09943798,
323-Mg2MoB2Zr5.poscar,Mg2MoB2Zr5,3.66193,0.100663508,
324-Mg2MoB2Hf5.poscar,Mg2MoB2Hf5,5.3377633,0.08346136,
325-Mg2MoB2V5.poscar,Mg2MoB2V5,4.48861,0.095288446,
326-Mg2MoB2Nb5.poscar,Mg2MoB2Nb5,2.7264104,0.102814927,
327-Mg2MoB2Ta5.poscar,Mg2MoB2Ta5,2.844804,0.091619488,
328-Mg2MoB2Mo5.poscar,Mg2MoB2Mo5,3.0943685,0.109247306,
329-Mg2MoB2W5.poscar,Mg2MoB2W5,2.894606,0.165500963,
330-Mg2MoB2Mn5.poscar,Mg2MoB2Mn5,3.4505866,0.069556825,
331-Mg2MoB2Tc5.poscar,Mg2MoB2Tc5,4.1268296,0.074993249,
332-Mg2MoB2Re5.poscar,Mg2MoB2Re5,2.851719,0.101277159,
333-Mg2MoB2Fe5.poscar,Mg2MoB2Fe5,3.1121368,0.049909223,
334-Mg2MoB2Ru5.poscar,Mg2MoB2Ru5,3.51836,0.029181689,
335-Mg2MoB2Os5.poscar,Mg2MoB2Os5,4.128829,0.053498724,
336-Mg2MoB2Co5.poscar,Mg2MoB2Co5,2.3879712,0.032173719,
